机动战士高达 THE ORIGIN,8.1,(1224人评分)
狮子王,8.1,(2050人评分)
白兔糖,8.1,(5976人评分)
寒蝉鸣泣之时,8.1,(7440人评分)
夏目友人帐,8.1,(6883人评分)
吊带袜天使,8.0,(5451人评分)
物语系列 第二季,8.0,(5745人评分)
JOJO的奇妙冒险 黄金之风,8.0,(4564人评分)
国王排名,8.2,(303人评分)
祖先大人万万岁,8.1,(408人评分)
装甲骑兵VOTOMS,8.2,(316人评分)
机动战士高达 第08MS小队,8.0,(1952人评分)
回忆积木小屋,8.1,(994人评分)
狼的孩子雨和雪,8.0,(4619人评分)
AIR,8.0,(7259人评分)
机动警察 NEW OVA,8.1,(379人评分)
偶像大师,8.0,(3862人评分)
夏目友人帐 肆,8.0,(4008人评分)
太空丹迪,8.0,(2482人评分)
罗密欧的蓝天,8.6,(73人评分)
娜娜,8.0,(1990人评分)
少女终末旅行,8.0,(6216人评分)
魔卡少女樱,8.0,(5322人评分)
校园迷糊大王,8.0,(2634人评分)
回转企鹅罐,8.0,(6912人评分)
龙珠Z,8.0,(1697人评分)
你的名字。,8.0,(11274人评分)
红猪,8.0,(2525人评分)
斩服少女,8.0,(7651人评分)
监狱兔 第一季,8.0,(2681人评分)
猎人,8.0,(3070人评分)
悠哉日常大王 Repeat,8.0,(3651人评分)
轻音少女 第二季,8.0,(8783人评分)
银之匙 Silver Spoon 第二季,8.0,(2938人评分)
剧场版 魔法少女小圆 [后篇] 永远的物语,8.0,(3073人评分)
种树的牧羊人,8.4,(116人评分)
四月是你的谎言,8.0,(8496人评分)
精灵守护者,8.0,(1246人评分)
搞笑漫画日和,8.0,(4264人评分)
黑礁 The Second Barrage,8.0,(3099人评分)
爆漫王。,8.0,(4515人评分)
悠久之翼,8.0,(4040人评分)
宇宙战舰大和号2199,8.0,(1190人评分)
赌博默示录,8.0,(2655人评分)
DARKER THAN BLACK -黑之契约者-,8.0,(6345人评分)
悠哉日常大王,8.0,(5698人评分)
轻音少女,8.0,(11228人评分)
小马驹G4 第一季,8.1,(439人评分)
剧场版 空之境界 第三章 痛觉残留,8.0,(5910人评分)
交响情人梦,8.0,(2004人评分)
蜘蛛侠：平行宇宙,8.0,(1978人评分)
剑风传奇,8.0,(866人评分)
无限的未知,8.0,(1083人评分)
剧场版 悠哉日常大王 Vacation,8.0,(1731人评分)
怪医黑杰克 OVA,8.1,(312人评分)
剧场版 空之境界 第一章 俯瞰风景,8.0,(6407人评分)
剧场版 吹响！悠风号～想要传达的旋律～,8.0,(1461人评分)
无职转生 ～在异世界认真地活下去～ 后半,8.0,(775人评分)
四叶游戏,8.0,(858人评分)
重启咲良田,8.0,(3343人评分)
幻想曲2000,8.3,(135人评分)
凉宫春日的忧郁 2009,8.0,(8843人评分)
无头骑士异闻录,8.0,(9217人评分)
机动战舰抚子号,8.0,(1079人评分)
降世神通：最后的气宗 第三季,8.1,(418人评分)
疯狂约会美丽都,8.0,(427人评分)
萩萩公主,8.1,(380人评分)
进击的巨人,7.9,(12713人评分)
罗小黑战记,8.0,(1989人评分)
宇宙骑士BLADE,8.0,(540人评分)
穿越时空的少女,8.0,(7623人评分)
日常 ETV版,8.0,(1054人评分)
红线,8.0,(1605人评分)
向阳素描 沙英・寻 毕业篇,8.0,(449人评分)
探险活宝 第九季,8.6,(58人评分)
剧场版 Fate/stay night [Heaven's Feel] III.spring song,8.0,(2497人评分)
机动战士高达,8.0,(1898人评分)
勇者王GaoGaiGar Final,8.1,(240人评分)
JOJO的奇妙冒险 不灭钻石,7.9,(4725人评分)
银之匙 Silver Spoon,7.9,(3908人评分)
吸血鬼猎人D：妖杀行,8.0,(1238人评分)
猫的协奏曲,8.5,(77人评分)
恶魔人 crybaby,7.9,(4896人评分)
天体战士,8.0,(1114人评分)
苍穹之法芙娜 EXODUS,8.0,(998人评分)
在这世界(更多一些)的角落,8.1,(282人评分)
异邦人 无皇刃谭,7.9,(3095人评分)
夏日大作战,7.9,(7501人评分)
男子高中生的日常,7.9,(10567人评分)
来自深渊 深邃的魂之黎明,7.9,(2452人评分)
少年同盟 2,7.9,(1811人评分)
天体战士 第2期,8.0,(754人评分)
南方公园 第16季,8.0,(311人评分)
秀逗魔导士NEXT,7.9,(912人评分)
麻辣教师GTO,7.9,(1145人评分)
银魂 JUMP动画巡回展 2005,8.0,(615人评分)
天元突破红莲螺岩 红莲篇,7.9,(1897人评分)
NO GAME NO LIFE 游戏人生 ZERO,7.9,(5735人评分)
交响情人梦Finale,7.9,(1381人评分)
阿基拉,7.9,(2681人评分)
降世神通：最后的气宗 第二季,8.0,(405人评分)
鲁邦三世：卡里奥斯特罗城,8.0,(621人评分)
×××HOLiC◆继,7.9,(2029人评分)
玲音,7.9,(2155人评分)
剑风传奇 黄金时代篇III 降临,7.9,(1190人评分)
飞出个未来 第6季,8.5,(59人评分)
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,7.9,(6465人评分)
伤物语II 热血篇,7.9,(2925人评分)
蓝宝石之谜,7.9,(1070人评分)
苍穹之法芙娜 THE BEYOND,8.3,(98人评分)
人类衰退之后,7.9,(4970人评分)
魔术师,8.0,(233人评分)
灵异E接触,7.9,(3055人评分)
苍穹之法芙娜 EXODUS 第2期,7.9,(752人评分)
超时空要塞,7.9,(976人评分)
数码宝贝驯兽师之王,7.9,(1476人评分)
有顶天家族,7.9,(3994人评分)
怪诞小镇 第一季,8.0,(421人评分)
马男波杰克2,8.0,(266人评分)
机动战舰抚子号 暗黑王子,7.9,(782人评分)
小马驹G4 第二季,8.0,(278人评分)
全金属狂潮 The Second Raid,7.9,(3466人评分)
校园迷糊大王 二学期,7.9,(1806人评分)
